metric_name,timestamp,metric_value
s3.storage,2019-12-10 20:00:00,43349.341
s3.storage,2019-12-10 21:00:00,43351.764
s3.storage,2019-12-10 22:00:00,43352.226
s3.storage,2019-12-10 23:00:00,43352.571
s3.storage,2019-12-11 00:00:00,43353.253
s3.storage,2019-12-11 01:00:00,43353.389
s3.storage,2019-12-11 02:00:00,43356.747
s3.storage,2019-12-11 03:00:00,43361.068
s3.storage,2019-12-11 04:00:00,43363.045
s3.storage,2019-12-11 05:00:00,43365.773
s3.storage,2019-12-11 06:00:00,43371.708
s3.storage,2019-12-11 07:00:00,43375.349
s3.storage,2019-12-11 08:00:00,43377.658
s3.storage,2019-12-11 09:00:00,43388.263
s3.storage,2019-12-11 10:00:00,43400.631
s3.storage,2019-12-11 11:00:00,43403.442
s3.storage,2019-12-11 12:00:00,43406.585
s3.storage,2019-12-11 13:00:00,43408.018
s3.storage,2019-12-11 14:00:00,43409.117
s3.storage,2019-12-11 15:00:00,43411.213
s3.storage,2019-12-11 16:00:00,43415.266
s3.storage,2019-12-11 17:00:00,43418.334
s3.storage,2019-12-11 18:00:00,43420.618
s3.storage,2019-12-11 19:00:00,43422.499
s3.storage,2019-12-11 20:00:00,43423.391
s3.storage,2019-12-11 21:00:00,43423.558
s3.storage,2019-12-11 22:00:00,43424.358
s3.storage,2019-12-11 23:00:00,43424.412
s3.storage,2019-12-12 00:00:00,43424.57
s3.storage,2019-12-12 01:00:00,43424.715
s3.storage,2019-12-12 02:00:00,43424.79
s3.storage,2019-12-12 03:00:00,43425.534
s3.storage,2019-12-12 04:00:00,43427.265
s3.storage,2019-12-12 05:00:00,43428.455
s3.storage,2019-12-12 06:00:00,43430.15
s3.storage,2019-12-12 07:00:00,43432.704
s3.storage,2019-12-12 08:00:00,43434.975
s3.storage,2019-12-12 09:00:00,43438.198
s3.storage,2019-12-12 10:00:00,43446.172
s3.storage,2019-12-12 11:00:00,43446.555
s3.storage,2019-12-12 12:00:00,43450.865
s3.storage,2019-12-12 13:00:00,43454.52
s3.storage,2019-12-12 14:00:00,43460.067
s3.storage,2019-12-12 15:00:00,43480.276
s3.storage,2019-12-12 16:00:00,43503.807
s3.storage,2019-12-12 17:00:00,43508.662
s3.storage,2019-12-12 18:00:00,43512.421
s3.storage,2019-12-12 19:00:00,43514.102
s3.storage,2019-12-12 20:00:00,43514.518
s3.storage,2019-12-12 21:00:00,43514.644
s3.storage,2019-12-12 22:00:00,43515.829
s3.storage,2019-12-12 23:00:00,43516.444
s3.storage,2019-12-13 00:00:00,43516.542
s3.storage,2019-12-13 01:00:00,43518.173
s3.storage,2019-12-13 02:00:00,43520.54
s3.storage,2019-12-13 03:00:00,43522.939
s3.storage,2019-12-13 04:00:00,43526.217
s3.storage,2019-12-13 05:00:00,43535.096
s3.storage,2019-12-13 06:00:00,43536.393
s3.storage,2019-12-13 07:00:00,43537.616
s3.storage,2019-12-13 08:00:00,43538.725
s3.storage,2019-12-13 09:00:00,43540.836
s3.storage,2019-12-13 10:00:00,43541.871
s3.storage,2019-12-13 11:00:00,43543.105
s3.storage,2019-12-13 12:00:00,43544.188
s3.storage,2019-12-13 13:00:00,43545.374
s3.storage,2019-12-13 14:00:00,43547.911
s3.storage,2019-12-13 15:00:00,43550.878
s3.storage,2019-12-13 16:00:00,43555.598
s3.storage,2019-12-13 17:00:00,43580.674
s3.storage,2019-12-13 18:00:00,43582.447
s3.storage,2019-12-13 19:00:00,43583.95
s3.storage,2019-12-13 20:00:00,43585.303
s3.storage,2019-12-13 21:00:00,43585.972
s3.storage,2019-12-13 22:00:00,43586.543
s3.storage,2019-12-13 23:00:00,43586.678
s3.storage,2019-12-14 00:00:00,43587.39
s3.storage,2019-12-14 01:00:00,43587.95
s3.storage,2019-12-14 02:00:00,43588.988
s3.storage,2019-12-14 03:00:00,43590.498
s3.storage,2019-12-14 04:00:00,43592.65
s3.storage,2019-12-14 05:00:00,43596.519
s3.storage,2019-12-14 06:00:00,43598.483
s3.storage,2019-12-14 07:00:00,43600.842
s3.storage,2019-12-14 08:00:00,43604.734
s3.storage,2019-12-14 09:00:00,43607.242
s3.storage,2019-12-14 10:00:00,43609.919
s3.storage,2019-12-14 11:00:00,43612.014
s3.storage,2019-12-14 12:00:00,43613.051
s3.storage,2019-12-14 13:00:00,43614.107
s3.storage,2019-12-14 14:00:00,43616.548
s3.storage,2019-12-14 15:00:00,43621.34
s3.storage,2019-12-14 16:00:00,43623.72
s3.storage,2019-12-14 17:00:00,43626.949
s3.storage,2019-12-14 18:00:00,43629.616
s3.storage,2019-12-14 19:00:00,43632.26
s3.storage,2019-12-14 20:00:00,43635.131
s3.storage,2019-12-14 21:00:00,43636.095
s3.storage,2019-12-14 22:00:00,43637.179
