metric_name,date,p10,p50,p90
s3.data_transfer,2020-01-01T06:00:00Z,16864.342619351704,36078.95806779919,55293.57351624667
s3.data_transfer,2020-01-01T07:00:00Z,17899.23827065046,37127.54172806228,56355.8451854741
s3.data_transfer,2020-01-01T08:00:00Z,17675.121209831053,36917.102939084245,56159.08466833744
s3.data_transfer,2020-01-01T09:00:00Z,15597.057512339248,34852.707797061186,54108.358081783124
s3.data_transfer,2020-01-01T10:00:00Z,11957.636782960188,31226.945927454977,50496.25507194977
s3.data_transfer,2020-01-01T11:00:00Z,8457.11783384906,27740.076163024307,47023.03449219956
s3.data_transfer,2020-01-01T12:00:00Z,7563.408976505023,26860.006835798966,46156.60469509291
s3.data_transfer,2020-01-01T13:00:00Z,10819.698744787871,30129.92650009687,49440.15425540587
s3.data_transfer,2020-01-01T14:00:00Z,17303.94428840745,36627.79232601384,55951.64036362023
s3.data_transfer,2020-01-01T15:00:00Z,23630.686304986913,42968.14503148722,62305.60375798753
s3.data_transfer,2020-01-01T16:00:00Z,25812.105069827205,45163.16491206069,64514.22475429418
s3.data_transfer,2020-01-01T17:00:00Z,21783.796638132357,41148.44804310993,60513.0994480875
s3.data_transfer,2020-01-01T18:00:00Z,12764.036101025831,32142.269535859312,51520.50297069279
s3.data_transfer,2020-01-01T19:00:00Z,2458.909867828046,21850.71581965978,41242.52177149152
s3.data_transfer,2020-01-01T20:00:00Z,-5235.373721942653,14169.995253990148,33575.36422992295
s3.data_transfer,2020-01-01T21:00:00Z,-8322.903988803628,11096.018538223809,30514.941065251245
s3.data_transfer,2020-01-01T22:00:00Z,-7237.050192808667,12195.416432128379,31627.883057065425
s3.data_transfer,2020-01-01T23:00:00Z,-3805.283223015913,15640.718066398078,35086.71935581207
s3.data_transfer,2020-01-02T00:00:00Z,229.0796966202397,19688.606236762193,39148.132776904145
s3.data_transfer,2020-01-02T01:00:00Z,3991.6376958564397,23464.68009259269,42937.72248932894
s3.request,2019-12-26T10:00:00Z,3132.4832049897263,5253.083983492327,7373.684761994928
s3.request,2019-12-26T11:00:00Z,2701.7738947080707,4836.464509566376,6971.155124424682
s3.request,2019-12-26T12:00:00Z,2821.429034735378,4956.857341920908,7092.285649106438
s3.request,2019-12-26T13:00:00Z,3700.116333100336,5836.282077862288,7972.447822624241
s3.request,2019-12-26T14:00:00Z,5057.291016502003,7194.193944353316,9331.096872204627
s3.request,2019-12-26T15:00:00Z,6223.575111769576,8361.214968486474,10498.854825203372
s3.request,2019-12-26T16:00:00Z,6489.078405937815,8627.454937559354,10765.831469180894
s3.request,2019-12-26T17:00:00Z,5539.92073123159,7679.03368405921,9818.14663688683
